Gene1,Gene2
A2M,MT-CO2
AAMDC,MT-CO2
AASDHPPT,MT-CO2
ABCC5,MT-CO2
ACTB,MT-CO2
ACTB,MT-CO3
ACTG1,MT-CO2
ADAP2,MT-CO2
ADARB2,MT-CO2
ADGRL4,MT-CO2
AKAP9,MT-CO2
ALDOA,MT-CO2
ALPK2,MT-CO2
ANGEL2,MT-CO2
ANKRD26,MT-CO2
ANKRD27,MT-CO2
ANKRD30A,MT-CO2
ANKRD36C,MT-CO2
ANO6,MT-CO2
ANXA2,MT-CO2
AOAH,MT-CO2
AP1G1,MT-CO2
AP5M1,MT-CO2
APBB2,MT-CO2
APRT,MT-CO2
ARGLU1,MT-CO2
ARHGAP29,MT-CO2
ARHGEF12,MT-CO2
ARHGEF7,MT-CO2
ATG2B,MT-CO2
ATG3,MT-CO2
ATP10B,MT-CO2
ATP13A4,MT-CO2
ATP2A1,MT-CO2
ATP5F1A,MT-CO2
ATP5MC1,MT-CO2
ATP5PO,MT-CO2
ATP6AP2,MT-CO2
ATP6V0E1,MT-CO2
B2M,MT-ATP6
B2M,MT-CO2
B9D2,MT-CO2
BAP1,MT-CO2
BAZ1B,MT-CO2
BCAS4,MT-CO2
BCAS4,MT-CO3
BCL7A,MT-CO2
BPHL,MT-CO2
BPIFB3,MT-CO2
BPTF,MT-CO2
BRCC3,MT-CO2
BTG1,MT-CO2
C14orf119,MT-CO2
C1orf174,MT-CO2
C5orf63,MT-CO2
CADM1,MT-CO2
CALM1,MT-CO2
CALM2,MT-CO2
CALR,MT-CO2
CALU,MT-CO2
CAMSAP1,MT-CO2
CAPN7,MT-CO2
CAPZA1,MT-CO2
CAPZA2,MT-CO2
CARD8,MT-CO2
CBX3,MT-CO2
CCDC117,MT-CO2
CCDC38,MT-CO2
CCDC7,MT-CO2
CCT4,MT-CO2
CD34,MT-CO2
CD36,MT-CO2
CD59,MT-CO2
CDC42,MT-CO2
CDR2L,MT-CO2
CENPF,MT-CO2
CEP250,MT-CO2
CHMP2B,MT-CO2
CNBP,MT-CO2
CNN3,MT-CO2
CNTF,MT-CO2
CNTN1,MT-CO2
COG6,MT-CO2
COMMD7,MT-CO2
COX7A1,MT-CO2
CPNE8,MT-CO2
CRELD2,MT-CO2
CSDE1,MT-CO2
CUL5,MT-CO2
CYLD,MT-CO2
CYP4Z1,MT-CO2
DAB1,MT-CO2
DAXX,MT-CO2
DBR1,MT-CO2
DDX17,MT-CO2
DDX18,MT-CO2
DDX5,MT-CO2
DDX60L,MT-CO2
DENND2C,MT-CO2
DIS3L,MT-CO2
DIS3L2,MT-CO2
DNAJB1,MT-CO2
DNAJB11,MT-CO2
DNHD1,MT-CO2
DOCK8,MT-CO2
DPM2,MT-CO2
DPP9,MT-CO2
DPYSL2,MT-CO2
DSE,MT-CO2
DUSP22,MT-CO2
DUSP6,MT-CO2
DYNC1I2,MT-CO2
DYNLL1,MT-CO2
EEF1A1,MT-CO2
EEF1A1,MT-CO3
EFCAB2,MT-CO2
EFEMP2,MT-CO2
EIF3B,MT-CO2
EIF3C,MT-CO2
EIF3CL,MT-CO2
EIF3J,MT-CO2
ELP1,MT-CO2
EMID1,MT-CO2
ENAH,MT-CO2
ENAM,MT-CO2
ENOX2,MT-CO2
EPAS1,MT-CO2
EPM2A,MT-CO2
ERAP1,MT-CO2
ERF,MT-CO2
ERV3-1,MT-CO2
ESCO2,MT-CO2
ETNK1,MT-CO2
ETS1,MT-CO2
F8,MT-CO2
FAAP100,MT-CO2
FABP4,MT-CO2
FABP5,MT-CO2
FAM107A,MT-CO2
FAM177A1,MT-CO2
FANCI,MT-CO2
FBN1,MT-CO2
FBXL4,MT-CO2
FBXO32,MT-CO2
FCN3,MT-CO2
FEM1A,MT-CO2
FGF1,MT-CO2
FGL1,MT-CO2
FIP1L1,MT-CO2
FMO2,MT-CO2
FOXL2NB,MT-CO2
FRMD8,MT-CO2
FSD1L,MT-CO2
FTH1,MT-CO2
FTL,MT-CO2
FTL,MT-CO3
FTL,MT-CYB
GALNT14,MT-CO2
GAN,MT-CO2
GATA2,MT-CO2
GCA,MT-CO2
GFPT1,MT-CO2
GLB1,MT-CO2
GLB1L,MT-CO2
GLUL,MT-CO2
GLYR1,MT-CO2
GNA11,MT-CO2
GNAI3,MT-CO2
GNPDA2,MT-CO2
GOLGA5,MT-CO2
GOLGA6L4,MT-CO2
GOT2,MT-CO2
GPHN,MT-CO2
GPIHBP1,MT-CO2
GPR65,MT-CO2
GPSM2,MT-CO2
GSX2,MT-CO2
GTF3C1,MT-CO2
GUF1,MT-CO2
GULP1,MT-CO2
GZF1,MT-CO2
HACD3,MT-CO2
HEATR5B,MT-CO2
HERPUD2,MT-CO2
HEY1,MT-CO2
HHEX,MT-CO2
HLA-A,MT-CO2
HLA-B,MT-CO2
HLA-C,MT-CO2
HLCS,MT-CO2
HMGB1,MT-CO2
HMGN3,MT-CO2
HMGN5,MT-CO2
HNRNPA0,MT-CO2
HNRNPC,MT-CO2
HOXA3,MT-CO2
HRCT1,MT-CO2
HS2ST1,MT-CO2
HSP90AB1,MT-CO2
HUWE1,MT-CO2
ID1,MT-CO2
ID3,MT-CO2
IDH3B,MT-CO2
IFI27,MT-CO2
IFITM2,MT-CO2
IFITM2,MT-CO3
IKZF2,MT-CO2
IL27RA,MT-CO2
ISCU,MT-CO2
ITGB1,MT-CO2
ITK,MT-CO2
ITM2A,MT-CO2
ITPR1,MT-CO2
IWS1,MT-CO2
KANK1,MT-CO2
KDM3A,MT-CO2
KDR,MT-CO2
KIDINS220,MT-CO2
KIF26A,MT-CO2
KLF10,MT-CO2
KMT5A,MT-CO2
KRT10,MT-CO2
KTN1,MT-CO2
LCOR,MT-CO2
LGALS1,MT-CO2
LHX9,MT-CO2
LIMCH1,MT-CO2
LIMS2,MT-CO2
LIN28A,MT-CO2
LIX1,MT-CO2
LLPH,MT-CO2
LMBR1,MT-CO2
LRFN5,MT-CO2
LTA4H,MT-CO2
LUC7L3,MT-CO2
LYST,MT-CO2
MAN2B2,MT-CO2
MAP2K6,MT-CO2
MAP4,MT-CO2
MAPKAPK2,MT-CO2
MAPKAPK5,MT-CO2
MBNL1,MT-CO2
MCF2L2,MT-CO2
MCMBP,MT-CO2
MCMDC2,MT-CO2
MCTP2,MT-CO2
MDH2,MT-CO2
MEF2C,MT-CO2
MEI4,MT-CO2
MEIS2,MT-CO2
MEMO1,MT-CO2
MFSD11,MT-CO2
MGA,MT-CO2
MGST3,MT-CO2
MICAL2,MT-CO2
MIDN,MT-CO2
MMRN2,MT-CO2
MMUT,MT-CO2
MORF4L1,MT-CO2
MPC1,MT-CO2
MPZL1,MT-CO2
MRPL40,MT-CO2
MRPL44,MT-CO2
MRPL48,MT-CO2
MRPL55,MT-CO2
MSX1,MT-CO2
MT-ATP6,MT-CO2
MT-ATP6,TMSB4X
MT-ATP8,MT-CO2
MT-CO1,MT-CO2
MT-CO2,MT-CYB
MT-CO2,MT-ND2
MT-CO2,MT-ND4
MT-CO2,MT-ND4L
MT-CO2,MT2A
MT-CO2,MTBP
MT-CO2,MTDH
MT-CO2,MTLN
MT-CO2,MTPN
MT-CO2,MUC16
MT-CO2,MXD1
MT-CO2,MYCT1
MT-CO2,MYEF2
MT-CO2,MYL12B
MT-CO2,N4BP2L1
MT-CO2,NAA15
MT-CO2,NABP1
MT-CO2,NABP2
MT-CO2,NAGLU
MT-CO2,NASP
MT-CO2,NCF2
MT-CO2,NDUFA13
MT-CO2,NDUFA3
MT-CO2,NDUFAB1
MT-CO2,NDUFC1
MT-CO2,NEK10
MT-CO2,NF1
MT-CO2,NF2
MT-CO2,NFIB
MT-CO2,NKTR
MT-CO2,NLK
MT-CO2,NOSTRIN
MT-CO2,NOTCH4
MT-CO2,NOX1
MT-CO2,NPAP1
MT-CO2,NRIP1
MT-CO2,NRP2
MT-CO2,NSMAF
MT-CO2,NUCKS1
MT-CO2,NUDCD1
MT-CO2,NUP133
MT-CO2,NUP153
MT-CO2,NUP210L
MT-CO2,NUP93
MT-CO2,OGT
MT-CO2,OMG
MT-CO2,OR4F21
MT-CO2,OR9H1P
MT-CO2,OSBPL10
MT-CO2,OTUD4
MT-CO2,PARK7
